"beta","deepSplit","minModuleSize","mergeCutHeight","n_mods","effD","delta_effD_nMods","globalMedian_mod_cohesion","grey_proportion"
14,3,40,0.2,18,3.84493026117792,14.1550697388221,NA,0
14,3,40,0.25,15,4.05366800101318,10.9463319989868,NA,0
14,3,40,0.3,13,3.99136405419914,9.00863594580086,NA,0
14,3,50,0.15,17,3.4966166158047,13.5033833841953,0.642507177463,0
14,3,50,0.2,14,3.65416612382871,10.3458338761713,NA,0
14,3,50,0.25,13,3.74652445623463,9.25347554376537,NA,0
14,3,50,0.3,12,3.75804926739921,8.2419507326008,NA,0
14,3,60,0.15,15,3.33704398026801,11.662956019732,0.639793159200495,0
14,3,60,0.2,12,3.59509324910455,8.40490675089545,NA,0
14,3,60,0.25,11,3.69919352554627,7.30080647445373,NA,0
14,3,60,0.3,11,3.69919352554627,7.30080647445373,NA,0
14,3,70,0.15,15,3.33704398026801,11.662956019732,0.639793159200495,0
14,3,70,0.2,12,3.59509324910455,8.40490675089545,NA,0
14,3,70,0.25,11,3.69919352554627,7.30080647445373,NA,0
14,3,70,0.3,11,3.69919352554627,7.30080647445373,NA,0
14,3,80,0.15,15,3.33704398026801,11.662956019732,0.639793159200495,0
14,3,80,0.2,12,3.59509324910455,8.40490675089545,NA,0
14,3,80,0.25,11,3.69919352554627,7.30080647445373,NA,0
14,3,80,0.3,11,3.69919352554627,7.30080647445373,NA,0
14,3,90,0.15,15,3.37502390851445,11.6249760914855,0.660137969402757,0
14,3,90,0.2,12,3.51532313755714,8.48467686244286,NA,0
14,3,90,0.25,11,3.63578978060833,7.36421021939167,NA,0
14,3,90,0.3,10,3.70619305128566,6.29380694871434,NA,0
14,3,100,0.15,14,3.30104681660789,10.6989531833921,0.688843197057841,0
14,3,100,0.2,11,3.39809309907438,7.60190690092562,0.606466353078971,0
14,3,100,0.25,10,3.54618914053434,6.45381085946566,NA,0
14,3,100,0.3,9,3.61432990401693,5.38567009598307,NA,0
14,4,20,0.15,41,4.49310589593953,36.5068941040605,0.694357838750385,0
14,4,20,0.2,33,4.83249765488639,28.1675023451136,NA,0
14,4,20,0.25,23,5.00253503466966,17.9974649653303,NA,0
14,4,20,0.3,19,4.89169929647197,14.108300703528,NA,0
14,4,30,0.15,27,3.81585147210479,23.1841485278952,0.68975428459111,0
14,4,30,0.2,20,4.12869087853366,15.8713091214663,NA,0
14,4,30,0.25,18,4.2428994953881,13.7571005046119,NA,0
14,4,30,0.3,16,4.08339718963917,11.9166028103608,NA,0
14,4,40,0.15,21,3.69306738005952,17.3069326199405,NA,0
14,4,40,0.2,18,3.83506982054055,14.1649301794595,NA,0
14,4,40,0.25,16,3.98182678615538,12.0181732138446,NA,0
14,4,40,0.3,13,3.96696428661867,9.03303571338133,NA,0
14,4,50,0.15,17,3.5455504082077,13.4544495917923,0.642460741571962,0
14,4,50,0.2,14,3.73381141161227,10.2661885883877,NA,0
14,4,50,0.25,13,3.83988845936475,9.16011154063525,NA,0
14,4,50,0.3,12,3.85585646079771,8.14414353920229,NA,0
14,4,60,0.15,15,3.38135620606479,11.6186437939352,0.643797994206577,0
14,4,60,0.2,12,3.68072404170462,8.31927595829538,NA,0
14,4,60,0.25,11,3.80173202604908,7.19826797395092,NA,0
14,4,60,0.3,11,3.80173202604908,7.19826797395092,NA,0
14,4,70,0.15,15,3.38135620606479,11.6186437939352,0.643797994206577,0
14,4,70,0.2,12,3.68072404170462,8.31927595829538,NA,0
14,4,70,0.25,11,3.80173202604908,7.19826797395092,NA,0
14,4,70,0.3,11,3.80173202604908,7.19826797395092,NA,0
14,4,80,0.15,15,3.38135620606479,11.6186437939352,0.643797994206577,0
14,4,80,0.2,12,3.68072404170462,8.31927595829538,NA,0
14,4,80,0.25,11,3.80173202604908,7.19826797395092,NA,0
14,4,80,0.3,11,3.80173202604908,7.19826797395092,NA,0
14,4,90,0.15,15,3.42813525315003,11.57186474685,0.66221777509756,0
14,4,90,0.2,12,3.59327573843832,8.40672426156168,NA,0
14,4,90,0.25,11,3.72544780089461,7.27455219910539,NA,0
14,4,90,0.3,10,3.81250323131493,6.18749676868507,NA,0
14,4,100,0.15,14,3.35322893100712,10.6467710689929,0.690725215669926,0
14,4,100,0.2,11,3.47954709881833,7.52045290118167,0.609264196555771,0
14,4,100,0.25,10,3.64244555899362,6.35755444100638,NA,0
14,4,100,0.3,9,3.73359076489592,5.26640923510408,NA,0
